movieId,lucationUrl,locationRef,city/country,area/street,location
1202,https://www.movie-locations.com/movies/w/Withnail-And-I-Bampton-phone-box.jpg, Withnail phones his agent, Cumbria, Bampton, Wideworth Farm Road
1202,https://www.movie-locations.com/movies/w/Withnail-And-I-The-Crown.jpg, The ‘King Henry’ pub, Buckinghamshire, Stony Stratford, The Crown
1202,https://www.movie-locations.com/movies/w/Withnail-And-I-Penrith-Tearoom.jpg, The ‘Penrith Tea Room ’, Buckinghamshire, Stony Stratford," Market Place,  Cox and Robinson"
1202,https://www.movie-locations.com/movies/w/Withnail-And-I-Cox-And-Robinson-int.jpg, The ‘Penrith Tea Room ’, Buckinghamshire, Stony Stratford," Market Place,  Cox and Robinson"
1202,https://www.movie-locations.com/movies/w/Withnail-And-I-Harrow-Road.jpg," ""Get in the back of the van!""", Paddington, Harrow Road,
1202,https://www.movie-locations.com/movies/w/Withnail-And-I-Regents-Park-fountain.jpg, Withnail and Marwood walk to the station, London NW1, Regent's Park, The Broad Walk
1202,https://www.movie-locations.com/movies/w/Withnail-And-I-Regents-Park-wolves.jpg," Withnail performs ""What a piece of work is a man"" for the wolves", London NW1, Regent's Park, The Broad Walk
7650,https://www.movie-locations.com/movies/w/Witchfinder-General-Rushford.jpg, John Lowesâ church at âBrandestonâ, Norfolk, Rushford, St John’s Church
7650,https://www.movie-locations.com/movies/w/Witchfinder-General-Kentwell-Hall.jpg, the magistrate’s house, Suffolk, Kentwell Hall,
7650,https://www.movie-locations.com/movies/w/Witchfinder-General-Lavenham.jpg, the witch-burning, Suffolk, Lavenham,
7650,https://www.movie-locations.com/movies/w/Witchfinder-General-Orford-Castle.jpg, Hopkins gets his bloody deserts, Suffolk, Orford Castle,
1211,https://www.movie-locations.com/movies/w/Wings-Of-Desire-Siegessaule-statue.jpg, the angels look out over the city, Berlin, Tiergarten, Siegessaule
1211,https://www.movie-locations.com/movies/w/Wings-Of-Desire-Kaiser-Wilhelm-Church.jpg, Damiel is perched atop the broken spire, Berlin, Breitscheidplatz, Kaiser Wilhelm GedÃ¤chtniskirche
